"element","isotope","mass","abundance","ratioC","Mass_Dif","unsaturation"
"[112]Sn","112Sn",111.904818,0.0297728667894414,0,-7.99737669999999,0
"[114]Sn","114Sn",113.902779,0.0202578268876611,0,-5.9994157,0
"[115]Sn","115Sn",114.903342,0.0104358502148557,0,-4.9988527,0
"[116]Sn","116Sn",115.901741,0.446286065070595,0,-4.00045369999999,0
"[117]Sn","117Sn",116.902952,0.23572744014733,0,-2.9992427,0
"[118]Sn","118Sn",117.901603,0.743400859422959,0,-2.0005917,0
"[119]Sn","119Sn",118.903308,0.26365868631062,0,-0.9988867,0
"Sn","120Sn",119.9021947,1,0,0,0
"[122]Sn","122Sn",121.903439,0.142111724984653,0,2.00124430000001,0
"[124]Sn","124Sn",123.9052739,0.177716390423573,0,4.0030792,0
"Sb","121Sb",120.9038157,1,0,0,0
"[123]Sb","123Sb",122.904214,0.747946163258172,0,2.0003983,0
"[120]Te","120Te",119.90402,0.00264084507042254,0,-10.0022044,0
"[122]Te","122Te",121.9030439,0.0748239436619718,0,-8.00318050000001,0
"[123]Te","123Te",122.90427,0.0261150234741784,0,-7.00195440000002,0
"[124]Te","124Te",123.9028179,0.139084507042254,0,-6.00340650000001,0
"[125]Te","125Te",124.9044307,0.207453051643192,0,-5.00179370000001,0
"[126]Te","126Te",125.9033117,0.552816901408451,0,-4.00291270000001,0
"[128]Te","128Te",127.9044631,0.931338028169014,0,-2.00176130000001,0
"Te","130Te",129.9062244,1,0,0,0
"I","127I",126.904473,1,0,0,0
"[124]Xe","124Xe",123.905893,0.00353790238065154,0,-7.9982605,0
"[126]Xe","126Xe",125.904274,0.00330749277182759,0,-5.99987950000001,0
"[128]Xe","128Xe",127.9035313,0.0709884572218547,0,-4.00062220000001,0
"[129]Xe","129Xe",128.9047794,0.98112127721249,0,-2.99937410000001,0
"[130]Xe","130Xe",129.903508,0.151289922181013,0,-2.00064550000002,0
"[131]Xe","131Xe",130.9050824,0.789056286837665,0,-0.999071100000009,0
"Xe","132Xe",131.9041535,1,0,0,0
"[134]Xe","134Xe",133.9053945,0.387820250774845,0,2.00124099999999,0
"[136]Xe","136Xe",135.907219,0.329162423909085,0,4.00306549999999,0
"Cs","133Cs",132.9054519,1,0,0,0
"[130]Ba","130Ba",129.9063208,0.0014784233869843,0,-7.99892639999999,0
"[132]Ba","132Ba",131.9050613,0.00140868643476806,0,-6.00018589999999,0
"[134]Ba","134Ba",133.9045084,0.0337108427013306,0,-4.00073879999999,0
"[135]Ba","135Ba",134.9056886,0.0919411978018913,0,-2.9995586,0
"[136]Ba","136Ba",135.9045759,0.10954280454127,0,-2.00067129999999,0
"[137]Ba","137Ba",136.9058274,0.156657089458562,0,-0.999419799999998,0
"Ba","138Ba",137.9052472,1,0,0,0
"[138]La","138La",137.907112,0.000900810729656691,0,-0.999241299999994,0
"La","139La",138.9063533,1,0,0,0
"[136]Ce","136Ce",135.907172,0.00209157716223855,0,-3.99826669999999,0
"[138]Ce","138Ce",137.905991,0.00283776144714528,0,-1.99944769999999,0
"Ce","140Ce",139.9054387,1,0,0,0
"[142]Ce","142Ce",141.909244,0.125652911249293,0,2.00380530000001,0
"Pr","141Pr",140.9076528,1,0,0,0
"Nd","142Nd",141.9077233,1,0,0,0
"[143]Nd","143Nd",142.9098143,0.448529411764706,0,1.00209100000001,0
"[144]Nd","144Nd",143.9100873,0.875,0,2.002364,0
"[145]Nd","145Nd",144.9125736,0.305147058823529,0,3.00485030000002,0
"[146]Nd","146Nd",145.9131169,0.63235294117647,0,4.00539360000002,0
"[148]Nd","148Nd",147.916893,0.209558823529412,0,6.0091697,0
"[150]Nd","150Nd",149.920891,0.205882352941176,0,8.01316770000003,0
"[144]Sm","144Sm",143.911999,0.114766355140187,0,-8.00773339999998,0
"[147]Sm","147Sm",146.9148979,0.560373831775701,0,-5.00483449999999,0
"[148]Sm","148Sm",147.9148227,0.42018691588785,0,-4.00490969999998,0
"[149]Sm","149Sm",148.9171847,0.516635514018692,0,-3.00254769999998,0
"[150]Sm","150Sm",149.9172755,0.27588785046729,0,-2.0024569,0
"Sm","152Sm",151.9197324,1,0,0,0
"[154]Sm","154Sm",153.9222093,0.850467289719626,0,2.0024769,0
"[151]Eu","151Eu",150.9198502,0.916075876604714,0,-2.00138009999998,0
"Eu","153Eu",152.9212303,1,0,0,0
"[152]Gd","152Gd",151.919791,0.00805152979066022,0,-6.0043129,0
"[154]Gd","154Gd",153.9208656,0.0877616747181965,0,-4.00323829999999,0
"[155]Gd","155Gd",154.922622,0.595813204508857,0,-3.00148190000002,0
"[156]Gd","156Gd",155.9221227,0.824074074074074,0,-2.00198120000002,0
"[157]Gd","157Gd",156.9239601,0.630032206119163,0,-1.00014380000002,0
"Gd","158Gd",157.9241039,1,0,0,0
"[160]Gd","160Gd",159.9270541,0.880032206119163,0,2.00295019999999,0
"Tb","159Tb",158.9253468,1,0,0,0
"[156]Dy","156Dy",155.924283,0.00198159943382873,0,-8.0048918,0
"[158]Dy","158Dy",157.924409,0.00336164189667374,0,-6.0047658,0
"[160]Dy","160Dy",159.9251975,0.08241330502477,0,-4.0039773,0
"[161]Dy","161Dy",160.9269334,0.668400566171267,0,-3.0022414,0
"[162]Dy","162Dy",161.9267984,0.901450813871196,0,-2.0023764,0
"[163]Dy","163Dy",162.9287312,0.880962491153574,0,-1.00044360000001,0
"Dy","164Dy",163.9291748,1,0,0,0
"Ho","165Ho",164.9303221,1,0,0,0
"[162]Er","162Er",161.928778,0.00414888218965466,0,-4.00151510000001,0
